,article,cateogry ID,FP/FN/TP/TN
124,135766,No Mapping,TN
125,57380,No Mapping,TN
126,217475,No Mapping,TN
127,217424,No Mapping,TN
128,110172,No Mapping,TN
129,151991,No Mapping,TN
130,217445,No Mapping,TN
131,21448,No Mapping,TN
132,85803,No Mapping,TN
133,142300,No Mapping,TN
134,80110,No Mapping,TN
135,21512,No Mapping,TN
136,135213,No Mapping,TN
137,151262,No Mapping,TN
138,80109,No Mapping,TN
139,217473,No Mapping,TN
140,110127,No Mapping,TN
141,21454,No Mapping,TN
142,172082,No Mapping,TN
143,214874,No Mapping,TN
144,172088,No Mapping,TN
145,120632,No Mapping,TN
146,217531,No Mapping,TN
147,214885,No Mapping,TN
148,190526,No Mapping,TN
149,217448,No Mapping,TN
150,217447,No Mapping,TN
151,172098,No Mapping,TN
152,214888,No Mapping,TN
153,217436,No Mapping,TN
154,47979,No Mapping,TN
155,172089,No Mapping,TN
156,39167,No Mapping,TN
157,138243,No Mapping,TN
158,85802,No Mapping,TN
159,217528,No Mapping,TN
160,217452,No Mapping,TN
161,172091,No Mapping,TN
162,78171,No Mapping,TN
163,49480,No Mapping,TN
164,217417,No Mapping,TN
165,110154,No Mapping,TN
166,172092,No Mapping,TN
167,50026,No Mapping,TN
168,44040,No Mapping,TN
169,190519,No Mapping,TN
170,71346,No Mapping,TN
171,71338,No Mapping,TN
172,217476,No Mapping,TN
173,217427,No Mapping,TN
174,217431,No Mapping,TN
175,217496,No Mapping,TN
176,57368,No Mapping,TN
177,217503,No Mapping,TN
178,217435,No Mapping,TN
179,214895,No Mapping,TN
180,217438,No Mapping,TN
181,217432,No Mapping,TN
182,57410,No Mapping,TN
183,25227,No Mapping,TN
184,217489,No Mapping,TN
185,21474,No Mapping,TN
186,120637,No Mapping,TN
187,57373,No Mapping,TN
188,172079,No Mapping,TN
189,217501,No Mapping,TN
190,38658,No Mapping,TN
191,152264,No Mapping,TN
192,217504,No Mapping,TN
193,217497,No Mapping,TN
194,217495,No Mapping,TN
195,141886,No Mapping,TN
196,21413,No Mapping,TN
197,110161,No Mapping,TN
198,44642,No Mapping,TN
199,37468,No Mapping,TN
200,110175,No Mapping,TN
201,138517,No Mapping,TN
202,110144,No Mapping,TN
203,217535,No Mapping,TN
204,39730,No Mapping,TN
205,157527,No Mapping,TN
206,80107,No Mapping,TN
207,172097,No Mapping,TN
208,217419,No Mapping,TN
209,217422,No Mapping,TN
210,80092,No Mapping,TN
211,57441,No Mapping,TN
212,110160,No Mapping,TN
213,214934,No Mapping,TN
214,110157,No Mapping,TN
215,80104,No Mapping,TN
216,172125,No Mapping,TN
217,57375,No Mapping,TN
218,217455,No Mapping,TN
219,217533,No Mapping,TN
220,85807,No Mapping,TN
221,57362,No Mapping,TN
222,217500,No Mapping,TN
223,57418,No Mapping,TN
224,217428,No Mapping,TN
225,39516,No Mapping,TN
226,80096,No Mapping,TN
227,57364,No Mapping,TN
228,71337,No Mapping,TN
229,214877,No Mapping,TN
230,190528,No Mapping,TN
231,217444,No Mapping,TN
232,217443,No Mapping,TN
233,217437,No Mapping,TN
234,217509,No Mapping,TN
235,39232,No Mapping,TN
236,217512,No Mapping,TN
237,217513,No Mapping,TN
238,190494,No Mapping,TN
239,71348,No Mapping,TN
240,190520,No Mapping,TN
241,217451,No Mapping,TN
242,217449,No Mapping,TN
243,140362,No Mapping,TN
244,110131,No Mapping,TN
245,214886,No Mapping,TN
246,80113,No Mapping,TN
247,190501,No Mapping,TN
248,135878,No Mapping,TN
249,136866,No Mapping,TN
250,110176,No Mapping,TN
251,217434,No Mapping,TN
252,21508,No Mapping,TN
253,85825,No Mapping,TN
254,158005,No Mapping,TN
255,217450,No Mapping,TN
256,217460,No Mapping,TN
257,217457,No Mapping,TN
258,217458,No Mapping,TN
259,110171,No Mapping,TN
260,120635,No Mapping,TN
261,217507,No Mapping,TN
262,217441,No Mapping,TN
263,217442,No Mapping,TN
264,85804,No Mapping,TN
265,190518,No Mapping,TN
266,110150,No Mapping,TN
267,190496,No Mapping,TN
268,217453,No Mapping,TN
269,42970,No Mapping,TN
270,71343,No Mapping,TN
271,80093,No Mapping,TN
272,110151,No Mapping,TN
273,217440,No Mapping,TN
274,110145,No Mapping,TN
275,40617,No Mapping,TN
276,71350,No Mapping,TN
277,40543,No Mapping,TN
278,217420,No Mapping,TN
279,39520,No Mapping,TN
280,140496,No Mapping,TN
281,217474,No Mapping,TN
282,120638,No Mapping,TN
283,110149,No Mapping,TN
284,217423,No Mapping,TN
285,152706,No Mapping,TN
286,217464,No Mapping,TN
287,217425,No Mapping,TN
288,110162,No Mapping,TN
289,120636,No Mapping,TN
290,120639,No Mapping,TN
291,110141,No Mapping,TN
292,217433,No Mapping,TN
293,217459,No Mapping,TN
294,217454,No Mapping,TN
295,217446,No Mapping,TN
296,217429,No Mapping,TN
297,217439,No Mapping,TN
298,217479,No Mapping,TN
299,217467,No Mapping,TN
300,46560,No Mapping,TN
301,217469,No Mapping,TN
302,217470,No Mapping,TN
303,217472,No Mapping,TN
304,217478,No Mapping,TN
305,217468,No Mapping,TN
306,47017,No Mapping,TN
307,217477,No Mapping,TN
308,142208,No Mapping,TN
309,217480,No Mapping,TN
310,25225,No Mapping,TN
311,23884,No Mapping,TN
312,23877,No Mapping,TN
313,23811,No Mapping,TN
314,217514,No Mapping,TN
315,217515,No Mapping,TN
316,21511,No Mapping,TN
317,21510,No Mapping,TN
318,21509,No Mapping,TN
319,21506,No Mapping,TN
320,21504,No Mapping,TN
321,21502,No Mapping,TN
322,217517,No Mapping,TN
323,217519,No Mapping,TN
324,21489,No Mapping,TN
325,217524,No Mapping,TN
326,217530,No Mapping,TN
327,217536,No Mapping,TN
328,217511,No Mapping,TN
329,217508,No Mapping,TN
330,217481,No Mapping,TN
331,35347,No Mapping,TN
332,217482,No Mapping,TN
333,217483,No Mapping,TN
334,217484,No Mapping,TN
335,217485,No Mapping,TN
336,40854,No Mapping,TN
337,217486,No Mapping,TN
338,40608,No Mapping,TN
339,48813,No Mapping,TN
340,217488,No Mapping,TN
341,217491,No Mapping,TN
342,217492,No Mapping,TN
343,217493,No Mapping,TN
344,217494,No Mapping,TN
345,217499,No Mapping,TN
346,217502,No Mapping,TN
347,217505,No Mapping,TN
348,217506,No Mapping,TN
349,48785,No Mapping,TN
350,71349,No Mapping,TN
351,48823,No Mapping,TN
352,172096,No Mapping,TN
353,172087,No Mapping,TN
354,172090,No Mapping,TN
355,172093,No Mapping,TN
356,120630,No Mapping,TN
357,172094,No Mapping,TN
358,172095,No Mapping,TN
359,110169,No Mapping,TN
360,172085,No Mapping,TN
361,110167,No Mapping,TN
362,110166,No Mapping,TN
363,110164,No Mapping,TN
364,110159,No Mapping,TN
365,172099,No Mapping,TN
366,172100,No Mapping,TN
367,120634,No Mapping,TN
368,134545,No Mapping,TN
369,217466,No Mapping,TN
370,156818,No Mapping,TN
371,152654,No Mapping,TN
372,141701,No Mapping,TN
373,140086,No Mapping,TN
374,156194,No Mapping,TN
375,156656,No Mapping,TN
376,139100,No Mapping,TN
377,217537,No Mapping,TN
378,172084,No Mapping,TN
379,157295,No Mapping,TN
380,137586,No Mapping,TN
381,136158,No Mapping,TN
382,172080,No Mapping,TN
383,134921,No Mapping,TN
384,134889,No Mapping,TN
385,172102,No Mapping,TN
386,110146,No Mapping,TN
387,110143,No Mapping,TN
388,57385,No Mapping,TN
389,80094,No Mapping,TN
390,217430,No Mapping,TN
391,78169,No Mapping,TN
392,152512,No Mapping,TN
393,71345,No Mapping,TN
394,71342,No Mapping,TN
395,57378,No Mapping,TN
396,110139,No Mapping,TN
397,57376,No Mapping,TN
398,217456,No Mapping,TN
399,57360,No Mapping,TN
400,49614,No Mapping,TN
401,217463,No Mapping,TN
402,49198,No Mapping,TN
403,217426,No Mapping,TN
404,80099,No Mapping,TN
405,80100,No Mapping,TN
406,80102,No Mapping,TN
407,214894,No Mapping,TN
408,214893,No Mapping,TN
409,214892,No Mapping,TN
410,85793,No Mapping,TN
411,214887,No Mapping,TN
412,190525,No Mapping,TN
413,190524,No Mapping,TN
414,85805,No Mapping,TN
415,85806,No Mapping,TN
416,85810,No Mapping,TN
417,190517,No Mapping,TN
418,110129,No Mapping,TN
419,190500,No Mapping,TN
420,138339,No Mapping,TN
421,120639,Brazil impeachment,TP
422,80103,Brazil impeachment,TP
423,25225,Brazil impeachment,TP
424,57362,Brazil impeachment,TP
425,110141,Brazil impeachment,TP
426,21502,Brazil impeachment,TP
427,120636,Brazil impeachment,TP
428,110146,No Mapping,TN
429,40608,No Mapping,TN
430,57380,No Mapping,TN
431,110166,No Mapping,TN
432,80109,No Mapping,TN
433,110172,No Mapping,TN
434,120630,No Mapping,TN
435,36650,No Mapping,TN
436,57376,No Mapping,TN
437,190528,No Mapping,TN
438,25227,No Mapping,TN
439,217452,No Mapping,TN
440,57418,No Mapping,TN
441,217533,No Mapping,TN
442,135213,No Mapping,TN
443,214876,No Mapping,TN
444,217535,No Mapping,TN
445,172079,No Mapping,TN
446,217472,No Mapping,TN
447,43849,No Mapping,TN
448,120629,No Mapping,TN
449,120637,No Mapping,TN
450,21504,No Mapping,TN
451,139776,No Mapping,TN
452,151991,No Mapping,TN
453,172098,No Mapping,TN
454,214875,No Mapping,TN
455,21500,No Mapping,TN
456,80094,No Mapping,TN
457,21485,No Mapping,TN
458,217516,No Mapping,TN
459,172077,No Mapping,TN
460,80111,No Mapping,TN
461,190519,No Mapping,TN
462,190526,No Mapping,TN
463,190520,No Mapping,TN
464,217525,No Mapping,TN
465,47403,No Mapping,TN
466,43672,No Mapping,TN
467,217430,No Mapping,TN
468,21510,No Mapping,TN
469,172083,No Mapping,TN
470,217534,No Mapping,TN
471,217538,No Mapping,TN
472,172089,No Mapping,TN
473,110156,No Mapping,TN
474,71340,No Mapping,TN
475,217531,No Mapping,TN
476,110175,No Mapping,TN
477,190495,No Mapping,TN
478,172097,No Mapping,TN
479,172091,No Mapping,TN
480,172080,No Mapping,TN
481,217521,No Mapping,TN
482,172087,No Mapping,TN
483,57372,No Mapping,TN
484,71341,No Mapping,TN
485,217509,No Mapping,TN
486,120628,No Mapping,TN
487,217456,No Mapping,TN
488,35996,No Mapping,TN
489,21489,No Mapping,TN
490,57375,No Mapping,TN
491,25226,No Mapping,TN
492,57368,No Mapping,TN
493,190522,No Mapping,TN
494,217465,No Mapping,TN
495,44040,No Mapping,TN
496,38952,No Mapping,TN
497,217522,No Mapping,TN
498,46560,No Mapping,TN
499,217500,No Mapping,TN
500,214891,No Mapping,TN
501,217492,No Mapping,TN
502,21499,No Mapping,TN
503,110147,No Mapping,TN
504,217444,No Mapping,TN
505,217443,No Mapping,TN
506,217507,No Mapping,TN
507,172100,No Mapping,TN
508,217440,No Mapping,TN
509,23888,No Mapping,TN
510,217477,No Mapping,TN
511,110164,No Mapping,TN
512,39520,No Mapping,TN
513,26536,No Mapping,TN
514,214886,No Mapping,TN
515,135766,No Mapping,TN
516,217529,No Mapping,TN
517,217487,No Mapping,TN
518,217489,No Mapping,TN
519,152512,No Mapping,TN
520,44993,No Mapping,TN
521,217467,No Mapping,TN
522,21454,No Mapping,TN
523,172096,No Mapping,TN
524,190518,No Mapping,TN
525,217510,No Mapping,TN
526,214934,No Mapping,TN
527,214895,No Mapping,TN
528,110162,No Mapping,TN
529,214874,No Mapping,TN
530,57366,No Mapping,TN
531,217491,No Mapping,TN
532,190496,No Mapping,TN
533,217470,No Mapping,TN
534,110157,No Mapping,TN
535,110171,No Mapping,TN
536,217461,No Mapping,TN
537,217462,No Mapping,TN
538,217518,No Mapping,TN
539,217463,No Mapping,TN
540,80101,No Mapping,TN
541,217501,No Mapping,TN
542,110129,No Mapping,TN
543,214894,No Mapping,TN
544,217504,No Mapping,TN
545,35347,No Mapping,TN
546,217497,No Mapping,TN
547,217495,No Mapping,TN
548,80097,No Mapping,TN
549,80092,No Mapping,TN
550,44928,No Mapping,TN
551,36823,No Mapping,TN
552,156194,No Mapping,TN
553,57382,No Mapping,TN
554,217523,No Mapping,TN
555,35723,No Mapping,TN
556,217476,No Mapping,TN
557,214884,No Mapping,TN
558,217526,No Mapping,TN
559,152654,No Mapping,TN
560,71337,No Mapping,TN
561,71335,No Mapping,TN
562,23884,No Mapping,TN
563,23811,No Mapping,TN
564,172090,No Mapping,TN
565,120633,No Mapping,TN
566,172082,No Mapping,TN
567,172099,No Mapping,TN
568,172092,No Mapping,TN
569,217448,No Mapping,TN
570,217447,No Mapping,TN
571,85798,No Mapping,TN
572,39516,No Mapping,TN
573,48914,No Mapping,TN
574,217474,No Mapping,TN
575,21474,No Mapping,TN
576,214877,No Mapping,TN
577,57441,No Mapping,TN
578,80110,No Mapping,TN
579,71344,No Mapping,TN
580,110159,No Mapping,TN
581,139673,No Mapping,TN
582,134889,No Mapping,TN
583,85797,No Mapping,TN
584,217499,No Mapping,TN
585,217494,No Mapping,TN
586,80107,No Mapping,TN
587,80100,No Mapping,TN
588,217419,No Mapping,TN
589,217422,No Mapping,TN
590,85810,No Mapping,TN
591,71350,No Mapping,TN
592,214883,No Mapping,TN
593,110160,No Mapping,TN
594,71349,No Mapping,TN
595,46175,No Mapping,TN
596,157527,No Mapping,TN
597,217421,No Mapping,TN
598,50026,No Mapping,TN
599,80106,No Mapping,TN
600,110149,No Mapping,TN
601,110151,No Mapping,TN
602,214892,No Mapping,TN
603,57369,No Mapping,TN
604,217445,No Mapping,TN
605,217455,No Mapping,TN
606,23877,No Mapping,TN
607,217532,No Mapping,TN
608,217483,No Mapping,TN
609,37468,No Mapping,TN
610,217428,No Mapping,TN
611,78169,No Mapping,TN
612,23872,No Mapping,TN
613,110145,No Mapping,TN
614,80099,No Mapping,TN
615,110155,No Mapping,TN
616,48306,No Mapping,TN
617,141886,No Mapping,TN
618,217437,No Mapping,TN
619,80098,No Mapping,TN
620,110169,No Mapping,TN
621,217449,No Mapping,TN
622,217451,No Mapping,TN
623,110144,No Mapping,TN
624,43447,No Mapping,TN
625,217480,No Mapping,TN
626,217434,No Mapping,TN
627,217450,No Mapping,TN
628,217460,No Mapping,TN
629,217457,No Mapping,TN
630,71339,No Mapping,TN
631,37252,No Mapping,TN
632,217458,No Mapping,TN
633,110150,No Mapping,TN
634,80112,No Mapping,TN
635,217453,No Mapping,TN
636,217432,No Mapping,TN
637,217438,No Mapping,TN
638,110131,No Mapping,TN
639,80093,No Mapping,TN
640,217427,No Mapping,TN
641,217431,No Mapping,TN
642,110126,No Mapping,TN
643,217420,No Mapping,TN
644,80104,No Mapping,TN
645,217417,No Mapping,TN
646,78170,No Mapping,TN
647,172078,No Mapping,TN
648,120638,No Mapping,TN
649,217471,No Mapping,TN
650,85803,No Mapping,TN
651,71336,No Mapping,TN
652,151832,No Mapping,TN
653,217423,No Mapping,TN
654,190512,No Mapping,TN
655,110133,No Mapping,TN
656,217418,No Mapping,TN
657,217464,No Mapping,TN
658,57364,No Mapping,TN
659,217425,No Mapping,TN
660,214885,No Mapping,TN
661,217424,No Mapping,TN
662,217433,No Mapping,TN
663,217436,No Mapping,TN
664,217459,No Mapping,TN
665,217446,No Mapping,TN
666,217454,No Mapping,TN
667,217429,No Mapping,TN
668,217441,No Mapping,TN
669,217442,No Mapping,TN
670,217439,No Mapping,TN
671,71345,No Mapping,TN
672,71346,No Mapping,TN
673,71348,No Mapping,TN
674,71343,No Mapping,TN
675,44642,No Mapping,TN
676,57379,No Mapping,TN
677,40854,No Mapping,TN
678,43318,No Mapping,TN
679,42970,No Mapping,TN
680,42951,No Mapping,TN
681,36979,No Mapping,TN
682,21455,No Mapping,TN
683,78171,No Mapping,TN
684,40754,No Mapping,TN
685,40617,No Mapping,TN
686,40543,No Mapping,TN
687,21448,No Mapping,TN
688,39730,No Mapping,TN
689,38658,No Mapping,TN
690,71342,No Mapping,TN
691,21506,No Mapping,TN
692,46896,No Mapping,TN
693,47017,No Mapping,TN
694,57377,No Mapping,TN
695,23878,No Mapping,TN
696,35776,No Mapping,TN
697,57385,No Mapping,TN
698,57373,No Mapping,TN
699,57410,No Mapping,TN
700,39232,No Mapping,TN
701,57365,No Mapping,TN
702,22918,No Mapping,TN
703,21512,No Mapping,TN
704,57360,No Mapping,TN
705,49614,No Mapping,TN
706,49480,No Mapping,TN
707,49458,No Mapping,TN
708,49416,No Mapping,TN
709,49198,No Mapping,TN
710,21511,No Mapping,TN
711,21509,No Mapping,TN
712,48823,No Mapping,TN
713,48813,No Mapping,TN
714,48785,No Mapping,TN
715,21508,No Mapping,TN
716,48388,No Mapping,TN
717,71338,No Mapping,TN
718,47979,No Mapping,TN
719,47078,No Mapping,TN
720,57378,No Mapping,TN
721,39167,No Mapping,TN
722,138339,No Mapping,TN
723,80096,No Mapping,TN
724,214878,No Mapping,TN
725,217468,No Mapping,TN
726,217466,No Mapping,TN
727,217435,No Mapping,TN
728,217426,No Mapping,TN
729,214973,No Mapping,TN
730,214943,No Mapping,TN
731,214893,No Mapping,TN
732,214889,No Mapping,TN
733,214888,No Mapping,TN
734,214887,No Mapping,TN
735,214880,No Mapping,TN
736,214879,No Mapping,TN
737,190525,No Mapping,TN
738,217473,No Mapping,TN
739,190524,No Mapping,TN
740,190517,No Mapping,TN
741,190501,No Mapping,TN
742,190500,No Mapping,TN
743,190494,No Mapping,TN
744,172125,No Mapping,TN
745,172102,No Mapping,TN
746,172095,No Mapping,TN
747,172094,No Mapping,TN
748,172093,No Mapping,TN
749,172088,No Mapping,TN
750,172086,No Mapping,TN
751,217469,No Mapping,TN
752,217475,No Mapping,TN
753,172084,No Mapping,TN
754,217508,No Mapping,TN
755,217536,No Mapping,TN
756,217530,No Mapping,TN
757,217528,No Mapping,TN
758,217524,No Mapping,TN
759,217520,No Mapping,TN
760,217519,No Mapping,TN
761,217517,No Mapping,TN
762,217515,No Mapping,TN
763,217514,No Mapping,TN
764,217513,No Mapping,TN
765,217512,No Mapping,TN
766,217511,No Mapping,TN
767,217506,No Mapping,TN
768,217478,No Mapping,TN
769,217505,No Mapping,TN
770,217503,No Mapping,TN
771,217502,No Mapping,TN
772,217496,No Mapping,TN
773,217493,No Mapping,TN
774,217488,No Mapping,TN
775,217486,No Mapping,TN
776,217485,No Mapping,TN
777,217484,No Mapping,TN
778,217482,No Mapping,TN
779,217481,No Mapping,TN
780,217479,No Mapping,TN
781,172085,No Mapping,TN
782,172081,No Mapping,TN
783,80102,No Mapping,TN
784,110127,No Mapping,TN
785,120632,No Mapping,TN
786,120631,No Mapping,TN
787,110176,No Mapping,TN
788,110167,No Mapping,TN
789,110165,No Mapping,TN
790,110161,No Mapping,TN
791,110154,No Mapping,TN
792,110152,No Mapping,TN
793,110143,No Mapping,TN
794,110139,No Mapping,TN
795,110137,No Mapping,TN
796,110135,No Mapping,TN
797,85880,No Mapping,TN
798,120635,No Mapping,TN
799,85825,No Mapping,TN
800,85807,No Mapping,TN
801,85806,No Mapping,TN
802,85805,No Mapping,TN
803,85804,No Mapping,TN
804,85802,No Mapping,TN
805,85801,No Mapping,TN
806,85799,No Mapping,TN
807,85793,No Mapping,TN
808,80113,No Mapping,TN
809,80108,No Mapping,TN
810,80105,No Mapping,TN
811,120634,No Mapping,TN
812,134545,No Mapping,TN
813,158005,No Mapping,TN
814,140362,No Mapping,TN
815,157295,No Mapping,TN
816,156818,No Mapping,TN
817,156656,No Mapping,TN
818,152706,No Mapping,TN
819,152264,No Mapping,TN
820,151598,No Mapping,TN
821,151262,No Mapping,TN
822,142300,No Mapping,TN
823,142208,No Mapping,TN
824,142033,No Mapping,TN
825,141701,No Mapping,TN
826,140496,No Mapping,TN
827,140086,No Mapping,TN
828,134825,No Mapping,TN
829,139571,No Mapping,TN
830,139100,No Mapping,TN
831,138709,No Mapping,TN
832,138517,No Mapping,TN
833,217537,No Mapping,TN
834,138243,No Mapping,TN
835,137586,No Mapping,TN
836,137143,No Mapping,TN
837,136866,No Mapping,TN
838,136158,No Mapping,TN
839,135878,No Mapping,TN
840,134921,No Mapping,TN
841,21413,No Mapping,TN
842,40617,Kaepernick,TP
843,40543,Kaepernick,TP
844,39520,Kaepernick,TP
845,47403,Kaepernick,TP
846,80109,Kaepernick,TP
847,80101,Kaepernick,TP
848,36823,No Mapping,TN
849,80099,No Mapping,TN
850,49458,No Mapping,TN
851,110167,No Mapping,TN
852,135213,No Mapping,TN
853,47017,No Mapping,TN
854,110147,No Mapping,TN
855,140086,No Mapping,TN
856,21448,No Mapping,TN
857,37468,No Mapping,TN
858,217532,No Mapping,TN
859,80092,No Mapping,TN
860,217475,No Mapping,TN
861,57369,No Mapping,TN
862,142300,No Mapping,TN
863,71340,No Mapping,TN
864,39232,No Mapping,TN
865,71339,No Mapping,TN
866,80102,No Mapping,TN
867,217534,No Mapping,TN
868,217473,No Mapping,TN
869,134825,No Mapping,TN
870,217535,No Mapping,TN
871,217523,No Mapping,TN
872,42951,No Mapping,TN
873,214888,No Mapping,TN
874,85803,No Mapping,TN
875,142208,No Mapping,TN
876,21508,No Mapping,TN
877,217467,No Mapping,TN
878,43849,No Mapping,TN
879,80105,No Mapping,TN
880,57410,No Mapping,TN
881,172087,No Mapping,TN
882,214883,No Mapping,TN
883,217518,No Mapping,TN
884,217441,No Mapping,TN
885,217442,No Mapping,TN
886,21474,No Mapping,TN
887,217428,No Mapping,TN
888,110172,No Mapping,TN
889,49198,No Mapping,TN
890,172080,No Mapping,TN
891,110150,No Mapping,TN
892,120635,No Mapping,TN
893,71345,No Mapping,TN
894,57380,No Mapping,TN
895,80096,No Mapping,TN
896,80093,No Mapping,TN
897,217483,No Mapping,TN
898,110129,No Mapping,TN
899,43672,No Mapping,TN
900,21489,No Mapping,TN
901,190525,No Mapping,TN
902,190496,No Mapping,TN
903,141701,No Mapping,TN
904,57418,No Mapping,TN
905,217420,No Mapping,TN
906,214879,No Mapping,TN
907,217433,No Mapping,TN
908,57385,No Mapping,TN
909,57375,No Mapping,TN
910,43318,No Mapping,TN
911,172083,No Mapping,TN
912,151991,No Mapping,TN
913,44642,No Mapping,TN
914,217429,No Mapping,TN
915,110155,No Mapping,TN
916,85798,No Mapping,TN
917,23888,No Mapping,TN
918,214880,No Mapping,TN
919,21511,No Mapping,TN
920,110156,No Mapping,TN
921,35347,No Mapping,TN
922,217439,No Mapping,TN
923,35723,No Mapping,TN
924,217456,No Mapping,TN
925,21504,No Mapping,TN
926,110149,No Mapping,TN
927,217526,No Mapping,TN
928,80107,No Mapping,TN
929,217459,No Mapping,TN
930,21500,No Mapping,TN
931,80100,No Mapping,TN
932,21502,No Mapping,TN
933,217528,No Mapping,TN
934,49614,No Mapping,TN
935,80104,No Mapping,TN
936,217424,No Mapping,TN
937,214943,No Mapping,TN
938,172078,No Mapping,TN
939,85802,No Mapping,TN
940,217435,No Mapping,TN
941,35776,No Mapping,TN
942,172084,No Mapping,TN
943,39730,No Mapping,TN
944,110176,No Mapping,TN
945,217434,No Mapping,TN
946,217472,No Mapping,TN
947,57365,No Mapping,TN
948,152264,No Mapping,TN
949,172098,No Mapping,TN
950,217418,No Mapping,TN
951,217455,No Mapping,TN
952,214895,No Mapping,TN
953,134889,No Mapping,TN
954,172082,No Mapping,TN
955,71336,No Mapping,TN
956,120634,No Mapping,TN
957,217419,No Mapping,TN
958,217422,No Mapping,TN
959,217452,No Mapping,TN
960,151262,No Mapping,TN
961,190524,No Mapping,TN
962,217516,No Mapping,TN
963,36650,No Mapping,TN
964,110169,No Mapping,TN
965,214891,No Mapping,TN
966,141886,No Mapping,TN
967,85880,No Mapping,TN
968,57366,No Mapping,TN
969,120630,No Mapping,TN
970,85793,No Mapping,TN
971,217531,No Mapping,TN
972,217522,No Mapping,TN
973,217538,No Mapping,TN
974,37252,No Mapping,TN
975,214934,No Mapping,TN
976,120633,No Mapping,TN
977,137143,No Mapping,TN
978,217510,No Mapping,TN
979,110157,No Mapping,TN
980,217437,No Mapping,TN
981,217474,No Mapping,TN
982,71337,No Mapping,TN
983,85807,No Mapping,TN
984,217427,No Mapping,TN
985,217431,No Mapping,TN
986,217529,No Mapping,TN
987,217513,No Mapping,TN
988,217512,No Mapping,TN
989,110166,No Mapping,TN
990,190522,No Mapping,TN
991,110164,No Mapping,TN
992,217521,No Mapping,TN
