,root_article,article_compared,predicted_mapping,"true_mapping""",FP/FN/TP/TN,score,,,,,
111,"227    151832
Name: id, dtype: int64",23878,No Mapping,No Mapping,TN,0.023388447,,,,,
112,"227    151832
Name: id, dtype: int64",110152,No Mapping,No Mapping,TN,0.023291374,,,,,
113,"227    151832
Name: id, dtype: int64",217466,No Mapping,No Mapping,TN,0.02276841,,,,,
114,"227    151832
Name: id, dtype: int64",172081,No Mapping,No Mapping,TN,0.022732677,,,,,
115,"227    151832
Name: id, dtype: int64",35776,No Mapping,No Mapping,TN,0.022714843,,,,,
116,"227    151832
Name: id, dtype: int64",43318,No Mapping,No Mapping,TN,0.022542573,,,,,
117,"227    151832
Name: id, dtype: int64",134825,No Mapping,No Mapping,TN,0.022418616,,,,,
118,"227    151832
Name: id, dtype: int64",57382,No Mapping,No Mapping,TN,0.022366484,,,,,
119,"227    151832
Name: id, dtype: int64",217422,No Mapping,No Mapping,TN,0.022287274,,,,,
120,"227    151832
Name: id, dtype: int64",214884,No Mapping,No Mapping,TN,0.022152142,,,,,
121,"227    151832
Name: id, dtype: int64",57379,No Mapping,No Mapping,TN,0.021797368,,,,,
122,"227    151832
Name: id, dtype: int64",110137,No Mapping,No Mapping,TN,0.021673193,,,,,
123,"227    151832
Name: id, dtype: int64",135766,No Mapping,No Mapping,TN,0.021336712,,,,,
124,"227    151832
Name: id, dtype: int64",217425,No Mapping,No Mapping,TN,0.02129391,,,,,
125,"227    151832
Name: id, dtype: int64",217448,No Mapping,No Mapping,TN,0.021267198,,,,,
126,"227    151832
Name: id, dtype: int64",217476,No Mapping,No Mapping,TN,0.021020151,,,,,
127,"227    151832
Name: id, dtype: int64",57380,No Mapping,No Mapping,TN,0.020898536,,,,,
128,"227    151832
Name: id, dtype: int64",110172,No Mapping,No Mapping,TN,0.020395008,,,,,
129,"227    151832
Name: id, dtype: int64",151991,No Mapping,No Mapping,TN,0.020332986,,,,,
130,"227    151832
Name: id, dtype: int64",217446,No Mapping,No Mapping,TN,0.020064565,,,,,
131,"227    151832
Name: id, dtype: int64",21448,No Mapping,No Mapping,TN,0.019747254,,,,,
132,"227    151832
Name: id, dtype: int64",85803,No Mapping,No Mapping,TN,0.018905707,,,,,
133,"227    151832
Name: id, dtype: int64",217428,No Mapping,No Mapping,TN,0.018641438,,,,,
134,"227    151832
Name: id, dtype: int64",80110,No Mapping,No Mapping,TN,0.018409801,,,,,
135,"227    151832
Name: id, dtype: int64",21512,No Mapping,No Mapping,TN,0.018270679,,,,,
136,"227    151832
Name: id, dtype: int64",142300,No Mapping,No Mapping,TN,0.018213565,,,,,
137,"227    151832
Name: id, dtype: int64",151262,No Mapping,No Mapping,TN,0.018130852,,,,,
138,"227    151832
Name: id, dtype: int64",135213,No Mapping,No Mapping,TN,0.018022634,,,,,
139,"227    151832
Name: id, dtype: int64",80109,No Mapping,No Mapping,TN,0.017564799,,,,,
140,"227    151832
Name: id, dtype: int64",217474,No Mapping,No Mapping,TN,0.017159438,,,,,
141,"227    151832
Name: id, dtype: int64",110127,No Mapping,No Mapping,TN,0.017082568,,,,,
142,"227    151832
Name: id, dtype: int64",21454,No Mapping,No Mapping,TN,0.01664588,,,,,
143,"227    151832
Name: id, dtype: int64",172082,No Mapping,No Mapping,TN,0.016631711,,,,,
144,"227    151832
Name: id, dtype: int64",172088,No Mapping,No Mapping,TN,0.016475218,,,,,
145,"227    151832
Name: id, dtype: int64",214874,No Mapping,No Mapping,TN,0.016471197,,,,,
146,"227    151832
Name: id, dtype: int64",120632,No Mapping,No Mapping,TN,0.016421194,,,,,
147,"227    151832
Name: id, dtype: int64",214885,No Mapping,No Mapping,TN,0.01611147,,,,,
148,"227    151832
Name: id, dtype: int64",172098,No Mapping,No Mapping,TN,0.01585912,,,,,
149,"227    151832
Name: id, dtype: int64",217532,No Mapping,No Mapping,TN,0.015803393,,,,,
150,"227    151832
Name: id, dtype: int64",217437,No Mapping,No Mapping,TN,0.015679879,,,,,
151,"227    151832
Name: id, dtype: int64",217453,No Mapping,No Mapping,TN,0.015619419,,,,,
152,"227    151832
Name: id, dtype: int64",214888,No Mapping,No Mapping,TN,0.015589286,,,,,
153,"227    151832
Name: id, dtype: int64",47979,No Mapping,No Mapping,TN,0.01541983,,,,,
154,"227    151832
Name: id, dtype: int64",172089,No Mapping,No Mapping,TN,0.015350125,,,,,
155,"227    151832
Name: id, dtype: int64",39167,No Mapping,No Mapping,TN,0.015112846,,,,,
156,"227    151832
Name: id, dtype: int64",138243,No Mapping,No Mapping,TN,0.015079544,,,,,
157,"227    151832
Name: id, dtype: int64",85802,No Mapping,No Mapping,TN,0.01502298,,,,,
158,"227    151832
Name: id, dtype: int64",217529,No Mapping,No Mapping,TN,0.014898248,,,,,
159,"227    151832
Name: id, dtype: int64",172091,No Mapping,No Mapping,TN,0.014327547,,,,,
160,"227    151832
Name: id, dtype: int64",78171,No Mapping,No Mapping,TN,0.014274885,,,,,
161,"227    151832
Name: id, dtype: int64",49480,No Mapping,No Mapping,TN,0.014005208,,,,,
162,"227    151832
Name: id, dtype: int64",217418,No Mapping,No Mapping,TN,0.013976529,,,,,
163,"227    151832
Name: id, dtype: int64",190526,No Mapping,No Mapping,TN,0.013616548,,,,,
164,"227    151832
Name: id, dtype: int64",110154,No Mapping,No Mapping,TN,0.01346412,,,,,
165,"227    151832
Name: id, dtype: int64",172092,No Mapping,No Mapping,TN,0.013030787,,,,,
166,"227    151832
Name: id, dtype: int64",50026,No Mapping,No Mapping,TN,0.012921404,,,,,
167,"227    151832
Name: id, dtype: int64",44040,No Mapping,No Mapping,TN,0.012904743,,,,,
168,"227    151832
Name: id, dtype: int64",190519,No Mapping,No Mapping,TN,0.012680026,,,,,
169,"227    151832
Name: id, dtype: int64",71346,No Mapping,No Mapping,TN,0.012299347,,,,,
170,"227    151832
Name: id, dtype: int64",71338,No Mapping,No Mapping,TN,0.012291948,,,,,
171,"227    151832
Name: id, dtype: int64",217477,No Mapping,No Mapping,TN,0.012141572,,,,,
172,"227    151832
Name: id, dtype: int64",217497,No Mapping,No Mapping,TN,0.011932833,,,,,
173,"227    151832
Name: id, dtype: int64",57368,No Mapping,No Mapping,TN,0.011883433,,,,,
174,"227    151832
Name: id, dtype: int64",217504,No Mapping,No Mapping,TN,0.011876933,,,,,
175,"227    151832
Name: id, dtype: int64",217490,No Mapping,No Mapping,TN,0.011858776,,,,,
176,"227    151832
Name: id, dtype: int64",217436,No Mapping,No Mapping,TN,0.011472227,,,,,
177,"227    151832
Name: id, dtype: int64",214895,No Mapping,No Mapping,TN,0.011379267,,,,,
178,"227    151832
Name: id, dtype: int64",217439,No Mapping,No Mapping,TN,0.011338368,,,,,
179,"227    151832
Name: id, dtype: int64",217433,No Mapping,No Mapping,TN,0.011338368,,,,,
180,"227    151832
Name: id, dtype: int64",217444,No Mapping,No Mapping,TN,0.011279464,,,,,
181,"227    151832
Name: id, dtype: int64",57410,No Mapping,No Mapping,TN,0.011109137,,,,,
182,"227    151832
Name: id, dtype: int64",25227,No Mapping,No Mapping,TN,0.011002755,,,,,
183,"227    151832
Name: id, dtype: int64",21474,No Mapping,No Mapping,TN,0.010761276,,,,,
184,"227    151832
Name: id, dtype: int64",120637,No Mapping,No Mapping,TN,0.010712477,,,,,
185,"227    151832
Name: id, dtype: int64",172079,No Mapping,No Mapping,TN,0.010310598,,,,,
186,"227    151832
Name: id, dtype: int64",57373,No Mapping,No Mapping,TN,0.010131763,,,,,
187,"227    151832
Name: id, dtype: int64",217502,No Mapping,No Mapping,TN,0.010124028,,,,,
188,"227    151832
Name: id, dtype: int64",38658,No Mapping,No Mapping,TN,0.009934619,,,,,
189,"227    151832
Name: id, dtype: int64",152264,No Mapping,No Mapping,TN,0.009790821,,,,,
190,"227    151832
Name: id, dtype: int64",217505,No Mapping,No Mapping,TN,0.009715323,,,,,
191,"227    151832
Name: id, dtype: int64",217498,No Mapping,No Mapping,TN,0.009507266,,,,,
192,"227    151832
Name: id, dtype: int64",217496,No Mapping,No Mapping,TN,0.009502483,,,,,
193,"227    151832
Name: id, dtype: int64",141886,No Mapping,No Mapping,TN,0.009341616,,,,,
194,"227    151832
Name: id, dtype: int64",21413,No Mapping,No Mapping,TN,0.008879439,,,,,
195,"227    151832
Name: id, dtype: int64",110161,No Mapping,No Mapping,TN,0.008793923,,,,,
196,"227    151832
Name: id, dtype: int64",217420,No Mapping,No Mapping,TN,0.008758489,,,,,
197,"227    151832
Name: id, dtype: int64",37468,No Mapping,No Mapping,TN,0.008747219,,,,,
198,"227    151832
Name: id, dtype: int64",44642,No Mapping,No Mapping,TN,0.008699566,,,,,
199,"227    151832
Name: id, dtype: int64",110175,No Mapping,No Mapping,TN,0.008566101,,,,,
200,"227    151832
Name: id, dtype: int64",138517,No Mapping,No Mapping,TN,0.008476374,,,,,
201,"227    151832
Name: id, dtype: int64",217442,No Mapping,No Mapping,TN,0.008469817,,,,,
202,"227    151832
Name: id, dtype: int64",110144,No Mapping,No Mapping,TN,0.00832082,,,,,
203,"227    151832
Name: id, dtype: int64",217536,No Mapping,No Mapping,TN,0.008318544,,,,,
204,"227    151832
Name: id, dtype: int64",80107,No Mapping,No Mapping,TN,0.008305166,,,,,
205,"227    151832
Name: id, dtype: int64",39730,No Mapping,No Mapping,TN,0.008112068,,,,,
206,"227    151832
Name: id, dtype: int64",157527,No Mapping,No Mapping,TN,0.008008079,,,,,
207,"227    151832
Name: id, dtype: int64",172097,No Mapping,No Mapping,TN,0.007988967,,,,,
208,"227    151832
Name: id, dtype: int64",80092,No Mapping,No Mapping,TN,0.00773287,,,,,
209,"227    151832
Name: id, dtype: int64",110160,No Mapping,No Mapping,TN,0.007572652,,,,,
210,"227    151832
Name: id, dtype: int64",57441,No Mapping,No Mapping,TN,0.007419996,,,,,
211,"227    151832
Name: id, dtype: int64",214934,No Mapping,No Mapping,TN,0.007301741,,,,,
212,"227    151832
Name: id, dtype: int64",80104,No Mapping,No Mapping,TN,0.007231609,,,,,
213,"227    151832
Name: id, dtype: int64",110157,No Mapping,No Mapping,TN,0.007204015,,,,,
214,"227    151832
Name: id, dtype: int64",57362,No Mapping,No Mapping,TN,0.007179414,,,,,
215,"227    151832
Name: id, dtype: int64",217456,No Mapping,No Mapping,TN,0.007168735,,,,,
216,"227    151832
Name: id, dtype: int64",57375,No Mapping,No Mapping,TN,0.007148934,,,,,
217,"227    151832
Name: id, dtype: int64",217534,No Mapping,No Mapping,TN,0.007096442,,,,,
218,"227    151832
Name: id, dtype: int64",172125,No Mapping,No Mapping,TN,0.007087248,,,,,
219,"227    151832
Name: id, dtype: int64",217501,No Mapping,No Mapping,TN,0.006944876,,,,,
220,"227    151832
Name: id, dtype: int64",85807,No Mapping,No Mapping,TN,0.006895406,,,,,
221,"227    151832
Name: id, dtype: int64",217429,No Mapping,No Mapping,TN,0.006588455,,,,,
222,"227    151832
Name: id, dtype: int64",57418,No Mapping,No Mapping,TN,0.006544602,,,,,
223,"227    151832
Name: id, dtype: int64",39516,No Mapping,No Mapping,TN,0.006306171,,,,,
224,"227    151832
Name: id, dtype: int64",80096,No Mapping,No Mapping,TN,0.006259298,,,,,
225,"227    151832
Name: id, dtype: int64",57364,No Mapping,No Mapping,TN,0.006183826,,,,,
226,"227    151832
Name: id, dtype: int64",71337,No Mapping,No Mapping,TN,0.005995799,,,,,
227,"227    151832
Name: id, dtype: int64",214877,No Mapping,No Mapping,TN,0.005935933,,,,,
228,"227    151832
Name: id, dtype: int64",217438,No Mapping,No Mapping,TN,0.005885779,,,,,
229,"227    151832
Name: id, dtype: int64",190528,No Mapping,No Mapping,TN,0.005879899,,,,,
230,"227    151832
Name: id, dtype: int64",217510,No Mapping,No Mapping,TN,0.005839175,,,,,
231,"227    151832
Name: id, dtype: int64",217450,No Mapping,No Mapping,TN,0.005661067,,,,,
232,"227    151832
Name: id, dtype: int64",39232,No Mapping,No Mapping,TN,0.005438952,,,,,
233,"227    151832
Name: id, dtype: int64",217513,No Mapping,No Mapping,TN,0.00536851,,,,,
234,"227    151832
Name: id, dtype: int64",217514,No Mapping,No Mapping,TN,0.00536851,,,,,
235,"227    151832
Name: id, dtype: int64",190494,No Mapping,No Mapping,TN,0.00527406,,,,,
236,"227    151832
Name: id, dtype: int64",190520,No Mapping,No Mapping,TN,0.005254616,,,,,
237,"227    151832
Name: id, dtype: int64",71348,No Mapping,No Mapping,TN,0.005177861,,,,,
238,"227    151832
Name: id, dtype: int64",110131,No Mapping,No Mapping,TN,0.00512821,,,,,
239,"227    151832
Name: id, dtype: int64",140362,No Mapping,No Mapping,TN,0.005119654,,,,,
240,"227    151832
Name: id, dtype: int64",214886,No Mapping,No Mapping,TN,0.00511261,,,,,
241,"227    151832
Name: id, dtype: int64",80113,No Mapping,No Mapping,TN,0.005102225,,,,,
242,"227    151832
Name: id, dtype: int64",190501,No Mapping,No Mapping,TN,0.005098602,,,,,
243,"227    151832
Name: id, dtype: int64",135878,No Mapping,No Mapping,TN,0.005098602,,,,,
244,"227    151832
Name: id, dtype: int64",136866,No Mapping,No Mapping,TN,0.004844568,,,,,
245,"227    151832
Name: id, dtype: int64",217435,No Mapping,No Mapping,TN,0.004840051,,,,,
246,"227    151832
Name: id, dtype: int64",110176,No Mapping,No Mapping,TN,0.004791231,,,,,
247,"227    151832
Name: id, dtype: int64",21508,No Mapping,No Mapping,TN,0.004707237,,,,,
248,"227    151832
Name: id, dtype: int64",217451,No Mapping,No Mapping,TN,0.00467057,,,,,
249,"227    151832
Name: id, dtype: int64",217461,No Mapping,No Mapping,TN,0.004622765,,,,,
250,"227    151832
Name: id, dtype: int64",217458,No Mapping,No Mapping,TN,0.004622765,,,,,
251,"227    151832
Name: id, dtype: int64",85825,No Mapping,No Mapping,TN,0.004610584,,,,,
252,"227    151832
Name: id, dtype: int64",158005,No Mapping,No Mapping,TN,0.004591149,,,,,
253,"227    151832
Name: id, dtype: int64",217459,No Mapping,No Mapping,TN,0.00449208,,,,,
254,"227    151832
Name: id, dtype: int64",110171,No Mapping,No Mapping,TN,0.004373483,,,,,
255,"227    151832
Name: id, dtype: int64",120635,No Mapping,No Mapping,TN,0.004355793,,,,,
256,"227    151832
Name: id, dtype: int64",217508,No Mapping,No Mapping,TN,0.004341452,,,,,
257,"227    151832
Name: id, dtype: int64",110150,No Mapping,No Mapping,TN,0.004239645,,,,,
258,"227    151832
Name: id, dtype: int64",85804,No Mapping,No Mapping,TN,0.004207767,,,,,
259,"227    151832
Name: id, dtype: int64",190518,No Mapping,No Mapping,TN,0.004191049,,,,,
260,"227    151832
Name: id, dtype: int64",217454,No Mapping,No Mapping,TN,0.004060197,,,,,
261,"227    151832
Name: id, dtype: int64",190496,No Mapping,No Mapping,TN,0.004032706,,,,,
262,"227    151832
Name: id, dtype: int64",80093,No Mapping,No Mapping,TN,0.004022517,,,,,
263,"227    151832
Name: id, dtype: int64",42970,No Mapping,No Mapping,TN,0.003931499,,,,,
264,"227    151832
Name: id, dtype: int64",71343,No Mapping,No Mapping,TN,0.003856838,,,,,
265,"227    151832
Name: id, dtype: int64",217441,No Mapping,No Mapping,TN,0.003853618,,,,,
266,"227    151832
Name: id, dtype: int64",110151,No Mapping,No Mapping,TN,0.003731043,,,,,
267,"227    151832
Name: id, dtype: int64",110145,No Mapping,No Mapping,TN,0.003680106,,,,,
268,"227    151832
Name: id, dtype: int64",217421,No Mapping,No Mapping,TN,0.003470089,,,,,
269,"227    151832
Name: id, dtype: int64",40617,No Mapping,No Mapping,TN,0.003462377,,,,,
270,"227    151832
Name: id, dtype: int64",217475,No Mapping,No Mapping,TN,0.003456435,,,,,
271,"227    151832
Name: id, dtype: int64",71350,No Mapping,No Mapping,TN,0.003431885,,,,,
272,"227    151832
Name: id, dtype: int64",120638,No Mapping,No Mapping,TN,0.003407199,,,,,
273,"227    151832
Name: id, dtype: int64",40543,No Mapping,No Mapping,TN,0.003364313,,,,,
274,"227    151832
Name: id, dtype: int64",39520,No Mapping,No Mapping,TN,0.003343232,,,,,
275,"227    151832
Name: id, dtype: int64",140496,No Mapping,No Mapping,TN,0.003332343,,,,,
276,"227    151832
Name: id, dtype: int64",110149,No Mapping,No Mapping,TN,0.003176239,,,,,
277,"227    151832
Name: id, dtype: int64",217424,No Mapping,No Mapping,TN,0.003134146,,,,,
278,"227    151832
Name: id, dtype: int64",217465,No Mapping,No Mapping,TN,0.002933089,,,,,
279,"227    151832
Name: id, dtype: int64",152706,No Mapping,No Mapping,TN,0.002929428,,,,,
280,"227    151832
Name: id, dtype: int64",217426,No Mapping,No Mapping,TN,0.00288823,,,,,
281,"227    151832
Name: id, dtype: int64",120636,No Mapping,No Mapping,TN,0.002797488,,,,,
282,"227    151832
Name: id, dtype: int64",110162,No Mapping,No Mapping,TN,0.002765249,,,,,
