,root_article,article_compared,cateogry ID,FP/FN/TP/TN,score
30,"397    217515
Name: id, dtype: int64",217486,capitol AND riot AND trump,FP,0.953357654
31,"247    172085
Name: id, dtype: int64",80096,David Brown,TP,0.817562736
32,"118    80094
Name: id, dtype: int64",214892,Penn State,TP,0.816845167
33,"118    80094
Name: id, dtype: int64",157527,Penn State,TP,0.816650363
34,"374    217490
Name: id, dtype: int64",217492,inflation AND economy AND fed,TP,0.774211479
35,"75    49480
Name: id, dtype: int64",110144,Anthony Weiner,TP,0.724619892
36,"292    214888
Name: id, dtype: int64",85803,Clinton Guccifer,TP,0.712098127
37,"52    43447
Name: id, dtype: int64",138709,Lauer debate,TP,0.706739371
38,"247    172085
Name: id, dtype: int64",141886,David Brown,TP,0.6998878
39,"238    158005
Name: id, dtype: int64",57373,Iran deal,TP,0.650208804
40,"238    158005
Name: id, dtype: int64",48823,Iran deal,TP,0.649038855
41,"374    217490
Name: id, dtype: int64",217493,inflation AND economy AND fed,TP,0.635551714
42,"35    37252
Name: id, dtype: int64",46175,Farage,TP,0.588349704
43,"37    38658
Name: id, dtype: int64",214894,SpaceX,TP,0.584132011
44,"35    37252
Name: id, dtype: int64",37468,Farage,TP,0.577116513
45,"46    40617
Name: id, dtype: int64",40543,Kaepernick,TP,0.548306976
46,"241    172079
Name: id, dtype: int64",190522,Venezuela,TP,0.530638219
47,"52    43447
Name: id, dtype: int64",47078,Lauer debate,TP,0.519489891
48,"241    172079
Name: id, dtype: int64",57375,Venezuela,TP,0.517562272
49,"75    49480
Name: id, dtype: int64",142300,Anthony Weiner,TP,0.482528028
50,"46    40617
Name: id, dtype: int64",39520,Kaepernick,TP,0.478604479
51,"247    172085
Name: id, dtype: int64",39232,David Brown,FP,0.469414661
52,"37    38658
Name: id, dtype: int64",134545,SpaceX,TP,0.465661218
53,"292    214888
Name: id, dtype: int64",47979,Clinton Guccifer,TP,0.456782198
54,"75    49480
Name: id, dtype: int64",214934,Anthony Weiner,TP,0.440705118
55,"302    217418
Name: id, dtype: int64",217424,haiti AND president,TP,0.439874197
56,"374    217490
Name: id, dtype: int64",217508,inflation AND economy AND fed,TP,0.431884384
57,"197    120639
Name: id, dtype: int64",80103,Brazil impeachment,TP,0.427431946
58,"227    151832
Name: id, dtype: int64",48306,Trump meeting,TP,0.423534328
59,"37    38658
Name: id, dtype: int64",172095,SpaceX,TP,0.422170541
60,"227    151832
Name: id, dtype: int64",172078,Trump meeting,TP,0.403627868
61,"46    40617
Name: id, dtype: int64",47403,Kaepernick,TP,0.392737069
62,"227    151832
Name: id, dtype: int64",110126,Trump meeting,TP,0.376084969
63,"227    151832
Name: id, dtype: int64",26536,Trump meeting,TP,0.349277862
64,"238    158005
Name: id, dtype: int64",120634,Iran deal,TP,0.340733913
65,"197    120639
Name: id, dtype: int64",25225,Brazil impeachment,TP,0.338562046
66,"197    120639
Name: id, dtype: int64",57362,Brazil impeachment,TP,0.337770416
67,"1    21448
Name: id, dtype: int64",78169,Safe space,TP,0.337159233
68,"227    151832
Name: id, dtype: int64",57365,Trump meeting,TP,0.334152575
69,"227    151832
Name: id, dtype: int64",21499,Trump meeting,TP,0.320918216
70,"46    40617
Name: id, dtype: int64",80109,Kaepernick,TP,0.318400345
71,"1    21448
Name: id, dtype: int64",78171,Safe space,TP,0.316126042
72,"227    151832
Name: id, dtype: int64",190512,Trump meeting,TP,0.312036086
73,"227    151832
Name: id, dtype: int64",23872,Trump meeting,TP,0.303842892
74,"1    21448
Name: id, dtype: int64",44642,Safe space,FP,0.303404277
75,"197    120639
Name: id, dtype: int64",110141,Brazil impeachment,TP,0.303255274
76,"227    151832
Name: id, dtype: int64",110133,Trump meeting,TP,0.295492517
77,"197    120639
Name: id, dtype: int64",21502,Brazil impeachment,TP,0.292230655
78,"227    151832
Name: id, dtype: int64",23888,Trump meeting,TP,0.288848414
79,"302    217418
Name: id, dtype: int64",217435,haiti AND president,TP,0.279973867
80,"46    40617
Name: id, dtype: int64",80101,Kaepernick,TP,0.277642726
81,"227    151832
Name: id, dtype: int64",142033,Trump meeting,TP,0.269578879
82,"197    120639
Name: id, dtype: int64",120636,Brazil impeachment,TP,0.268931194
83,"227    151832
Name: id, dtype: int64",71336,Trump meeting,TP,0.268900387
84,"227    151832
Name: id, dtype: int64",214876,Trump meeting,FP,0.268247073
85,"247    172085
Name: id, dtype: int64",71350,David Brown,FP,0.268060742
86,"227    151832
Name: id, dtype: int64",71335,Trump meeting,TP,0.264278714
87,"227    151832
Name: id, dtype: int64",80098,No Mapping,TN,0.249579334
88,"374    217490
Name: id, dtype: int64",217511,No Mapping,FN,0.247147235
89,"52    43447
Name: id, dtype: int64",85799,No Mapping,TN,0.242318802
90,"292    214888
Name: id, dtype: int64",85801,No Mapping,TN,0.230703264
91,"350    217466
Name: id, dtype: int64",217484,No Mapping,FN,0.228513317
92,"227    151832
Name: id, dtype: int64",57366,No Mapping,FN,0.227136683
93,"374    217490
Name: id, dtype: int64",217494,No Mapping,FN,0.224622495
94,"350    217466
Name: id, dtype: int64",217467,No Mapping,FN,0.224197075
95,"350    217466
Name: id, dtype: int64",217483,No Mapping,FN,0.222197204
96,"302    217418
Name: id, dtype: int64",217437,No Mapping,FN,0.218489962
97,"302    217418
Name: id, dtype: int64",217441,No Mapping,FN,0.216745802
98,"350    217466
Name: id, dtype: int64",217470,No Mapping,FN,0.211995314
99,"227    151832
Name: id, dtype: int64",78170,No Mapping,TN,0.210228561
100,"350    217466
Name: id, dtype: int64",217473,No Mapping,FN,0.2099311
101,"227    151832
Name: id, dtype: int64",44928,No Mapping,TN,0.204710255
102,"227    151832
Name: id, dtype: int64",71341,No Mapping,TN,0.199587671
103,"227    151832
Name: id, dtype: int64",71339,No Mapping,FN,0.198510708
104,"227    151832
Name: id, dtype: int64",214883,No Mapping,TN,0.197589788
105,"52    43447
Name: id, dtype: int64",135766,No Mapping,TN,0.189706137
106,"227    151832
Name: id, dtype: int64",214875,No Mapping,TN,0.189490896
107,"350    217466
Name: id, dtype: int64",217476,No Mapping,FN,0.189412778
108,"37    38658
Name: id, dtype: int64",85810,No Mapping,TN,0.18918785
109,"227    151832
Name: id, dtype: int64",85798,No Mapping,TN,0.188811861
110,"197    120639
Name: id, dtype: int64",110146,No Mapping,TN,0.188709807
111,"227    151832
Name: id, dtype: int64",120629,No Mapping,TN,0.18042759
112,"374    217490
Name: id, dtype: int64",217501,No Mapping,FN,0.180038367
113,"52    43447
Name: id, dtype: int64",71344,No Mapping,TN,0.176194562
114,"227    151832
Name: id, dtype: int64",214891,No Mapping,TN,0.174430354
115,"227    151832
Name: id, dtype: int64",85799,No Mapping,TN,0.174376214
116,"302    217418
Name: id, dtype: int64",217426,No Mapping,FN,0.170328019
117,"302    217418
Name: id, dtype: int64",217438,No Mapping,FN,0.168265309
118,"52    43447
Name: id, dtype: int64",38952,No Mapping,TN,0.16728328
119,"52    43447
Name: id, dtype: int64",48388,No Mapping,TN,0.165962593
120,"35    37252
Name: id, dtype: int64",36823,No Mapping,TN,0.165502709
121,"302    217418
Name: id, dtype: int64",217430,No Mapping,FN,0.164135301
122,"75    49480
Name: id, dtype: int64",85802,No Mapping,TN,0.160873024
123,"197    120639
Name: id, dtype: int64",40608,No Mapping,TN,0.160092609
124,"52    43447
Name: id, dtype: int64",57377,No Mapping,TN,0.15993054
125,"326    217442
Name: id, dtype: int64",217446,No Mapping,FN,0.15407398
126,"247    172085
Name: id, dtype: int64",156194,No Mapping,TN,0.153968381
127,"292    214888
Name: id, dtype: int64",80112,No Mapping,TN,0.151793339
128,"326    217442
Name: id, dtype: int64",217457,No Mapping,FN,0.150633452
129,"227    151832
Name: id, dtype: int64",36979,No Mapping,TN,0.149148136
130,"35    37252
Name: id, dtype: int64",48914,No Mapping,TN,0.149021998
131,"35    37252
Name: id, dtype: int64",120633,No Mapping,TN,0.14854252
132,"350    217466
Name: id, dtype: int64",217478,No Mapping,FN,0.148484704
133,"326    217442
Name: id, dtype: int64",217453,No Mapping,FN,0.147152011
134,"350    217466
Name: id, dtype: int64",217471,No Mapping,FN,0.146907359
135,"227    151832
Name: id, dtype: int64",214879,No Mapping,TN,0.14617396
136,"374    217490
Name: id, dtype: int64",217498,No Mapping,FN,0.146002083
137,"227    151832
Name: id, dtype: int64",49458,No Mapping,TN,0.14531394
138,"52    43447
Name: id, dtype: int64",80108,No Mapping,TN,0.141590309
139,"302    217418
Name: id, dtype: int64",217427,No Mapping,FN,0.140576147
140,"37    38658
Name: id, dtype: int64",214874,No Mapping,TN,0.140290883
141,"227    151832
Name: id, dtype: int64",120628,No Mapping,TN,0.140099836
142,"292    214888
Name: id, dtype: int64",40754,No Mapping,TN,0.139375562
143,"350    217466
Name: id, dtype: int64",217474,No Mapping,FN,0.139308833
144,"302    217418
Name: id, dtype: int64",217440,No Mapping,FN,0.139143452
145,"52    43447
Name: id, dtype: int64",80097,No Mapping,TN,0.138719622
146,"292    214888
Name: id, dtype: int64",80097,No Mapping,TN,0.137246996
147,"227    151832
Name: id, dtype: int64",71344,No Mapping,TN,0.136132029
148,"227    151832
Name: id, dtype: int64",80112,No Mapping,TN,0.135366739
149,"227    151832
Name: id, dtype: int64",80108,No Mapping,TN,0.135258827
150,"46    40617
Name: id, dtype: int64",36823,No Mapping,TN,0.135240685
151,"52    43447
Name: id, dtype: int64",80112,No Mapping,TN,0.134755234
152,"374    217490
Name: id, dtype: int64",217505,No Mapping,FN,0.134471484
153,"1    21448
Name: id, dtype: int64",214889,No Mapping,TN,0.13427455
154,"227    151832
Name: id, dtype: int64",57369,No Mapping,TN,0.132677768
155,"52    43447
Name: id, dtype: int64",43672,No Mapping,TN,0.132635195
156,"52    43447
Name: id, dtype: int64",80111,No Mapping,TN,0.132321241
157,"302    217418
Name: id, dtype: int64",140362,No Mapping,TN,0.130581054
158,"75    49480
Name: id, dtype: int64",141701,No Mapping,TN,0.130188161
159,"374    217490
Name: id, dtype: int64",217496,No Mapping,FN,0.12958655
160,"302    217418
Name: id, dtype: int64",217434,No Mapping,FN,0.129515952
161,"52    43447
Name: id, dtype: int64",40754,No Mapping,TN,0.12951336
162,"292    214888
Name: id, dtype: int64",48388,No Mapping,TN,0.128504375
163,"292    214888
Name: id, dtype: int64",120633,No Mapping,TN,0.128181476
164,"292    214888
Name: id, dtype: int64",57377,No Mapping,TN,0.127553513
165,"35    37252
Name: id, dtype: int64",40754,No Mapping,TN,0.126570841
166,"52    43447
Name: id, dtype: int64",110133,No Mapping,TN,0.12478639
167,"238    158005
Name: id, dtype: int64",85797,No Mapping,TN,0.124470517
168,"52    43447
Name: id, dtype: int64",49416,No Mapping,TN,0.122974172
169,"302    217418
Name: id, dtype: int64",217423,No Mapping,FN,0.122632622
170,"302    217418
Name: id, dtype: int64",217420,No Mapping,FN,0.122632622
171,"227    151832
Name: id, dtype: int64",21500,No Mapping,TN,0.122312729
172,"227    151832
Name: id, dtype: int64",47403,No Mapping,TN,0.121998819
173,"302    217418
Name: id, dtype: int64",217422,No Mapping,FN,0.121935271
174,"35    37252
Name: id, dtype: int64",48306,No Mapping,TN,0.12110296
175,"374    217490
Name: id, dtype: int64",217502,No Mapping,FN,0.120629911
176,"227    151832
Name: id, dtype: int64",42951,No Mapping,TN,0.119587364
177,"52    43447
Name: id, dtype: int64",120633,No Mapping,TN,0.119241562
178,"326    217442
Name: id, dtype: int64",23878,No Mapping,TN,0.11864627
179,"227    151832
Name: id, dtype: int64",80111,No Mapping,TN,0.118408073
180,"227    151832
Name: id, dtype: int64",214889,No Mapping,TN,0.117363742
181,"350    217466
Name: id, dtype: int64",217469,No Mapping,FN,0.117025199
182,"302    217418
Name: id, dtype: int64",217433,No Mapping,FN,0.116375054
183,"302    217418
Name: id, dtype: int64",217439,No Mapping,FN,0.116375054
184,"292    214888
Name: id, dtype: int64",85802,No Mapping,TN,0.116020986
185,"326    217442
Name: id, dtype: int64",217454,No Mapping,FN,0.115690093
186,"326    217442
Name: id, dtype: int64",217465,No Mapping,FN,0.115233659
187,"52    43447
Name: id, dtype: int64",42951,No Mapping,TN,0.114984476
188,"350    217466
Name: id, dtype: int64",217468,No Mapping,FN,0.114862051
189,"52    43447
Name: id, dtype: int64",85797,No Mapping,TN,0.114367809
190,"52    43447
Name: id, dtype: int64",48306,No Mapping,TN,0.113712469
191,"292    214888
Name: id, dtype: int64",85799,No Mapping,TN,0.112752387
192,"374    217490
Name: id, dtype: int64",217504,No Mapping,FN,0.112427579
193,"247    172085
Name: id, dtype: int64",110165,No Mapping,TN,0.112314606
194,"302    217418
Name: id, dtype: int64",217429,No Mapping,FN,0.112021266
195,"46    40617
Name: id, dtype: int64",80099,No Mapping,TN,0.111890931
196,"302    217418
Name: id, dtype: int64",217421,No Mapping,FN,0.111615973
197,"292    214888
Name: id, dtype: int64",36979,No Mapping,TN,0.111515844
198,"326    217442
Name: id, dtype: int64",217460,No Mapping,FN,0.110970972
199,"227    151832
Name: id, dtype: int64",25226,No Mapping,TN,0.11043558
200,"227    151832
Name: id, dtype: int64",38952,No Mapping,TN,0.110338916
201,"247    172085
Name: id, dtype: int64",80106,No Mapping,TN,0.109430656
202,"75    49480
Name: id, dtype: int64",217464,No Mapping,TN,0.10909935
203,"397    217515
Name: id, dtype: int64",190526,No Mapping,TN,0.108399551
204,"292    214888
Name: id, dtype: int64",49416,No Mapping,TN,0.108187716
205,"326    217442
Name: id, dtype: int64",217456,No Mapping,FN,0.108124335
206,"350    217466
Name: id, dtype: int64",217481,No Mapping,FN,0.107268385
207,"350    217466
Name: id, dtype: int64",139673,No Mapping,TN,0.106502234
208,"292    214888
Name: id, dtype: int64",38952,No Mapping,TN,0.105999512
209,"227    151832
Name: id, dtype: int64",44993,No Mapping,TN,0.105097466
210,"227    151832
Name: id, dtype: int64",110147,No Mapping,TN,0.104863889
211,"292    214888
Name: id, dtype: int64",138243,No Mapping,TN,0.10472968
212,"52    43447
Name: id, dtype: int64",190512,No Mapping,TN,0.103260854
213,"374    217490
Name: id, dtype: int64",217497,No Mapping,FN,0.102818601
214,"227    151832
Name: id, dtype: int64",217535,No Mapping,TN,0.102654538
215,"35    37252
Name: id, dtype: int64",190520,No Mapping,TN,0.102559639
216,"302    217418
Name: id, dtype: int64",217436,No Mapping,FN,0.101850124
217,"1    21448
Name: id, dtype: int64",80092,No Mapping,TN,0.100960504
218,"302    217418
Name: id, dtype: int64",217432,No Mapping,FN,0.100610514
219,"302    217418
Name: id, dtype: int64",217428,No Mapping,FN,0.100610514
220,"197    120639
Name: id, dtype: int64",57380,No Mapping,TN,0.099521143
221,"292    214888
Name: id, dtype: int64",71344,No Mapping,TN,0.099395282
222,"35    37252
Name: id, dtype: int64",110137,No Mapping,TN,0.098795895
223,"35    37252
Name: id, dtype: int64",48388,No Mapping,TN,0.097719883
224,"52    43447
Name: id, dtype: int64",35776,No Mapping,TN,0.097242281
225,"35    37252
Name: id, dtype: int64",57377,No Mapping,TN,0.096996809
226,"350    217466
Name: id, dtype: int64",217488,No Mapping,FN,0.096922136
227,"35    37252
Name: id, dtype: int64",49416,No Mapping,TN,0.096694733
228,"52    43447
Name: id, dtype: int64",172083,No Mapping,TN,0.096362372
229,"350    217466
Name: id, dtype: int64",214943,No Mapping,TN,0.094704582
230,"326    217442
Name: id, dtype: int64",217448,No Mapping,FN,0.094469702
231,"326    217442
Name: id, dtype: int64",217449,No Mapping,FN,0.094469702
232,"52    43447
Name: id, dtype: int64",85802,No Mapping,TN,0.094369529
233,"46    40617
Name: id, dtype: int64",49458,No Mapping,TN,0.093495921
234,"326    217442
Name: id, dtype: int64",217451,No Mapping,FN,0.092615667
235,"292    214888
Name: id, dtype: int64",43672,No Mapping,TN,0.091976538
236,"35    37252
Name: id, dtype: int64",40543,No Mapping,TN,0.091780436
237,"326    217442
Name: id, dtype: int64",217459,No Mapping,FN,0.091696594
238,"326    217442
Name: id, dtype: int64",217461,No Mapping,FN,0.09167254
239,"326    217442
Name: id, dtype: int64",217458,No Mapping,FN,0.09167254
240,"241    172079
Name: id, dtype: int64",217523,No Mapping,TN,0.091153363
241,"374    217490
Name: id, dtype: int64",217510,No Mapping,FN,0.090986448
242,"197    120639
Name: id, dtype: int64",110166,No Mapping,TN,0.09029125
243,"1    21448
Name: id, dtype: int64",110169,No Mapping,TN,0.089892694
244,"52    43447
Name: id, dtype: int64",35723,No Mapping,TN,0.089567865
245,"197    120639
Name: id, dtype: int64",80109,No Mapping,TN,0.089458363
246,"52    43447
Name: id, dtype: int64",46175,No Mapping,TN,0.089144021
247,"75    49480
Name: id, dtype: int64",139673,No Mapping,TN,0.087883946
248,"75    49480
Name: id, dtype: int64",214889,No Mapping,TN,0.087353107
249,"118    80094
Name: id, dtype: int64",36650,No Mapping,TN,0.087154066
250,"227    151832
Name: id, dtype: int64",214878,No Mapping,TN,0.086623382
251,"52    43447
Name: id, dtype: int64",142033,No Mapping,TN,0.08623928
252,"227    151832
Name: id, dtype: int64",120633,No Mapping,TN,0.085706046
253,"52    43447
Name: id, dtype: int64",85798,No Mapping,TN,0.085587158
254,"35    37252
Name: id, dtype: int64",85799,No Mapping,TN,0.08532305
255,"75    49480
Name: id, dtype: int64",217523,No Mapping,TN,0.08464075
256,"35    37252
Name: id, dtype: int64",85801,No Mapping,TN,0.084629172
257,"52    43447
Name: id, dtype: int64",138243,No Mapping,TN,0.084515792
258,"247    172085
Name: id, dtype: int64",217457,No Mapping,TN,0.084249222
259,"350    217466
Name: id, dtype: int64",36650,No Mapping,TN,0.08327446
260,"227    151832
Name: id, dtype: int64",36650,No Mapping,TN,0.083209006
261,"35    37252
Name: id, dtype: int64",71344,No Mapping,TN,0.083062146
262,"227    151832
Name: id, dtype: int64",48388,No Mapping,TN,0.082655821
263,"52    43447
Name: id, dtype: int64",85801,No Mapping,TN,0.082471202
264,"292    214888
Name: id, dtype: int64",42951,No Mapping,TN,0.08245708
265,"197    120639
Name: id, dtype: int64",110172,No Mapping,TN,0.082386673
266,"227    151832
Name: id, dtype: int64",80097,No Mapping,TN,0.082274445
267,"247    172085
Name: id, dtype: int64",120635,No Mapping,TN,0.081862402
268,"227    151832
Name: id, dtype: int64",217530,No Mapping,TN,0.081797588
269,"292    214888
Name: id, dtype: int64",120638,No Mapping,TN,0.08156529
270,"1    21448
Name: id, dtype: int64",80109,No Mapping,TN,0.081546226
271,"35    37252
Name: id, dtype: int64",80097,No Mapping,TN,0.081449779
272,"292    214888
Name: id, dtype: int64",43849,No Mapping,TN,0.081353741
273,"292    214888
Name: id, dtype: int64",80111,No Mapping,TN,0.081230038
274,"227    151832
Name: id, dtype: int64",110156,No Mapping,TN,0.081219198
275,"227    151832
Name: id, dtype: int64",35723,No Mapping,TN,0.080844593
276,"35    37252
Name: id, dtype: int64",38952,No Mapping,TN,0.080606282
277,"302    217418
Name: id, dtype: int64",217419,No Mapping,FN,0.080114393
278,"241    172079
Name: id, dtype: int64",140362,No Mapping,TN,0.07999226
279,"227    151832
Name: id, dtype: int64",120631,No Mapping,TN,0.07980913
280,"52    43447
Name: id, dtype: int64",48914,No Mapping,TN,0.079727632
281,"227    151832
Name: id, dtype: int64",217517,No Mapping,TN,0.079611278
282,"197    120639
Name: id, dtype: int64",120630,No Mapping,TN,0.0787377
283,"227    151832
Name: id, dtype: int64",48914,No Mapping,TN,0.07855918
284,"350    217466
Name: id, dtype: int64",110162,No Mapping,TN,0.078319003
285,"292    214888
Name: id, dtype: int64",172083,No Mapping,TN,0.078176034
286,"238    158005
Name: id, dtype: int64",110146,No Mapping,TN,0.078110835
287,"227    151832
Name: id, dtype: int64",217519,No Mapping,TN,0.077101891
288,"35    37252
Name: id, dtype: int64",138243,No Mapping,TN,0.077073806
289,"75    49480
Name: id, dtype: int64",139776,No Mapping,TN,0.07703373
290,"118    80094
Name: id, dtype: int64",217522,No Mapping,TN,0.076784193
291,"52    43447
Name: id, dtype: int64",71341,No Mapping,TN,0.07582969
292,"247    172085
Name: id, dtype: int64",39516,No Mapping,TN,0.075581419
293,"1    21448
Name: id, dtype: int64",42951,No Mapping,TN,0.074983357
294,"350    217466
Name: id, dtype: int64",110156,No Mapping,TN,0.07465456
295,"227    151832
Name: id, dtype: int64",214880,No Mapping,TN,0.074355509
296,"350    217466
Name: id, dtype: int64",217482,No Mapping,FN,0.073833335
297,"292    214888
Name: id, dtype: int64",46175,No Mapping,TN,0.073738997
421,"52    43447
Name: id, dtype: int64",47979,No Mapping,TN,0.073295251
422,"292    214888
Name: id, dtype: int64",120634,No Mapping,TN,0.073242271
423,"35    37252
Name: id, dtype: int64",42951,No Mapping,TN,0.073169705
424,"1    21448
Name: id, dtype: int64",85805,No Mapping,TN,0.073012295
425,"326    217442
Name: id, dtype: int64",217444,No Mapping,FN,0.072783486
426,"326    217442
Name: id, dtype: int64",217445,No Mapping,FN,0.072783486
427,"292    214888
Name: id, dtype: int64",80108,No Mapping,TN,0.072695548
428,"75    49480
Name: id, dtype: int64",138517,No Mapping,TN,0.072616828
429,"35    37252
Name: id, dtype: int64",80111,No Mapping,TN,0.072106095
430,"227    151832
Name: id, dtype: int64",139673,No Mapping,TN,0.071678132
431,"247    172085
Name: id, dtype: int64",217475,No Mapping,TN,0.071414172
432,"52    43447
Name: id, dtype: int64",214889,No Mapping,TN,0.071303671
433,"227    151832
Name: id, dtype: int64",47078,No Mapping,TN,0.071065473
434,"1    21448
Name: id, dtype: int64",214876,No Mapping,TN,0.070970711
435,"52    43447
Name: id, dtype: int64",214883,No Mapping,TN,0.070761685
436,"374    217490
Name: id, dtype: int64",217507,No Mapping,FN,0.070313624
437,"302    217418
Name: id, dtype: int64",80104,No Mapping,TN,0.07029081
438,"52    43447
Name: id, dtype: int64",23872,No Mapping,TN,0.07016085
439,"326    217442
Name: id, dtype: int64",217468,No Mapping,TN,0.069967227
440,"326    217442
Name: id, dtype: int64",80105,No Mapping,TN,0.069901761
441,"227    151832
Name: id, dtype: int64",43672,No Mapping,TN,0.069731738
442,"302    217418
Name: id, dtype: int64",217523,No Mapping,TN,0.069649343
443,"350    217466
Name: id, dtype: int64",139571,No Mapping,TN,0.069384223
444,"302    217418
Name: id, dtype: int64",217425,No Mapping,FN,0.069232221
445,"350    217466
Name: id, dtype: int64",85797,No Mapping,TN,0.069226513
446,"52    43447
Name: id, dtype: int64",217532,No Mapping,TN,0.069225882
447,"227    151832
Name: id, dtype: int64",85797,No Mapping,TN,0.068897552
448,"52    43447
Name: id, dtype: int64",110157,No Mapping,TN,0.068535166
449,"350    217466
Name: id, dtype: int64",110127,No Mapping,TN,0.068487599
450,"350    217466
Name: id, dtype: int64",110172,No Mapping,TN,0.068149445
451,"247    172085
Name: id, dtype: int64",137143,No Mapping,TN,0.067980213
452,"118    80094
Name: id, dtype: int64",217454,No Mapping,TN,0.067914942
453,"37    38658
Name: id, dtype: int64",110150,No Mapping,TN,0.067532392
454,"326    217442
Name: id, dtype: int64",217447,No Mapping,FN,0.067048258
455,"326    217442
Name: id, dtype: int64",217455,No Mapping,FN,0.067048258
456,"241    172079
Name: id, dtype: int64",120636,No Mapping,TN,0.067036166
457,"227    151832
Name: id, dtype: int64",217539,No Mapping,TN,0.066985035
458,"197    120639
Name: id, dtype: int64",36650,No Mapping,TN,0.066955082
459,"238    158005
Name: id, dtype: int64",217520,No Mapping,TN,0.066945636
460,"75    49480
Name: id, dtype: int64",120630,No Mapping,TN,0.066412061
461,"241    172079
Name: id, dtype: int64",36650,No Mapping,TN,0.066406908
462,"302    217418
Name: id, dtype: int64",85806,No Mapping,TN,0.065996896
463,"52    43447
Name: id, dtype: int64",85803,No Mapping,TN,0.065868991
464,"52    43447
Name: id, dtype: int64",48785,No Mapping,TN,0.065851382
465,"1    21448
Name: id, dtype: int64",80107,No Mapping,TN,0.065688448
466,"292    214888
Name: id, dtype: int64",85797,No Mapping,TN,0.065271893
467,"35    37252
Name: id, dtype: int64",80101,No Mapping,TN,0.065238386
468,"46    40617
Name: id, dtype: int64",110167,No Mapping,TN,0.065150106
469,"227    151832
Name: id, dtype: int64",36823,No Mapping,TN,0.06446552
470,"227    151832
Name: id, dtype: int64",172083,No Mapping,TN,0.0643671
471,"247    172085
Name: id, dtype: int64",80110,No Mapping,TN,0.064322099
472,"35    37252
Name: id, dtype: int64",80112,No Mapping,TN,0.064320285
473,"52    43447
Name: id, dtype: int64",71335,No Mapping,TN,0.063948889
474,"52    43447
Name: id, dtype: int64",110161,No Mapping,TN,0.063807835
475,"1    21448
Name: id, dtype: int64",138517,No Mapping,TN,0.063683854
476,"326    217442
Name: id, dtype: int64",217462,No Mapping,FN,0.063654281
477,"326    217442
Name: id, dtype: int64",217463,No Mapping,FN,0.063654281
478,"238    158005
Name: id, dtype: int64",48813,No Mapping,TN,0.063540004
479,"37    38658
Name: id, dtype: int64",110127,No Mapping,TN,0.06352499
480,"326    217442
Name: id, dtype: int64",214883,No Mapping,TN,0.063192829
481,"241    172079
Name: id, dtype: int64",214886,No Mapping,TN,0.062887608
482,"1    21448
Name: id, dtype: int64",21511,No Mapping,TN,0.062842145
483,"227    151832
Name: id, dtype: int64",217527,No Mapping,TN,0.062830877
484,"227    151832
Name: id, dtype: int64",217522,No Mapping,TN,0.062402377
485,"292    214888
Name: id, dtype: int64",85805,No Mapping,TN,0.062332846
486,"302    217418
Name: id, dtype: int64",57418,No Mapping,TN,0.062157144
487,"350    217466
Name: id, dtype: int64",35776,No Mapping,TN,0.061999297
